Event,Start_Month,End_Month,Peak_Nino34,Mean_AUC,Valid_Months
1991/92,1991-07,1992-06,1.7699999999999994,0.6721853669669254,12
1994/95,1994-07,1995-06,1.126666666666666,0.6004753466775331,12
1997/98,1997-07,1998-06,2.3599999999999994,0.8006044955877735,12
2002/03,2002-07,2003-06,1.3633333333333326,0.6085299391882201,12
2004/05,2004-07,2005-06,0.7099999999999994,0.5775653954963406,12
2006/07,2006-07,2007-06,0.9433333333333328,0.5815352381328187,12
2009/10,2009-07,2010-06,1.573333333333333,0.6768312902641327,12
2015/16,2015-07,2016-06,2.65,0.7521509384484762,12
2018/19,2018-07,2019-06,0.8966666666666662,0.6123207156883664,12
2023/24,2023-07,2024-06,1.953333333333333,0.5959687882720525,12
